ticker,p1_date,p1_price,low1_date,low1_price,p2_date,p2_price,low2_date,low2_price,y_shape,y_breakout,y_reachtarget,p1_trading_date,p2_trading_date,low1_trading_date,low2_trading_date,p1_idx,p2_idx,low1_idx,low2_idx,p1p2_trading_days,neckline_slope_per_day,drop1_norm,rise1_norm,drop2_norm,trough_sim,spread_t,p1_to_l1_t,l1_to_p2_t,p2_to_l2_t,rsi_p2,rsi_l2,vol_ratio_p2,vol_ratio_l2,px_vs_ma20_p2,px_vs_ma20_l2,px_vs_ma50_l2,atr_pct_l2,dist_to_neckline_l2,mom10_to_l2,mp_min_dist
MU,2024-07-24,111.47,2024-08-07,86.8,2024-08-20,108.95,2024-09-09,86.27,1,0,0,2024-07-24,2024-08-20,2024-08-07,2024-09-09,149,168,159,181,19,-0.1326315789473682,-0.28596267532166464,0.2567520574939146,-0.26289556044975093,0.006105990783410151,0.24444444444444444,0.1111111111111111,0.1,0.14444444444444443,51.20089859135049,30.03173576405011,0.6587663605632718,0.9965570755217367,0.07079817485652429,-0.12096755194007924,-0.20420555059449486,0.046920815997042876,0.2672300959995031,-0.16120563377342612,2.46588665417611
NFLX,2025-02-18,1062.0,2025-03-10,866.68,2025-03-25,997.28,2025-04-07,827.85,1,1,1,2025-02-18,2025-03-25,2025-03-10,2025-04-07,149,174,163,183,25,-2.588800000000001,-0.23593646191942996,0.1577580479555476,-0.2046626804372773,0.044803156874509545,0.2222222222222222,0.15555555555555556,0.12222222222222222,0.1,58.091754889982866,37.074036363892944,0.6871199080739587,1.2650426682047047,0.05655935122300715,-0.06991123522068632,-0.10200693291646246,0.04318983655218696,0.1861902678842081,-0.10716156976000879,3.1733601865467485
NKE,2024-12-11,78.85,2025-01-17,70.84,2025-01-30,78.33,2025-02-07,70.56,1,0,0,2024-12-11,2025-01-30,2025-01-17,2025-02-07,152,184,176,190,32,-0.016249999999999876,-0.11352040816326525,0.1061507936507935,-0.11011904761904745,0.0039525691699604905,0.15555555555555556,0.26666666666666666,0.08888888888888889,0.06666666666666667,64.48729410350929,33.007654539627055,0.9063674179614901,2.033374724317512,0.06902313773923185,-0.06724065537300039,-0.08984059247769693,0.034653429450459246,0.15946268611951622,-0.06646729505005966,2.2186575013745915
NVDA,2024-07-11,135.75,2024-08-07,98.91,2024-08-22,130.02,2024-09-06,102.83,1,1,1,2024-07-11,2024-08-22,2024-08-07,2024-09-06,150,180,169,190,30,-0.19099999999999967,-0.3724598119502578,0.3145283591143466,-0.27489637043777204,0.039631988676574685,0.23333333333333334,0.2111111111111111,0.12222222222222222,0.1111111111111111,55.591609195287404,37.08925649163646,1.0148455952799627,1.1981197451223444,0.08764244701430823,-0.1343802835680803,-0.1330469330841204,0.0635862257447463,0.26951667500351933,-0.16898333244103492,2.9054107049292224
ORCL,2025-04-02,145.86,2025-04-07,118.86,2025-04-09,139.69,2025-04-21,122.82,1,1,1,2025-04-02,2025-04-09,2025-04-07,2025-04-21,150,155,153,162,5,-1.234000000000003,-0.22715800100959127,0.17524819114925116,-0.1419316843345111,0.03331650681473998,0.1,0.03333333333333333,0.022222222222222223,0.07777777777777778,44.70637002118817,33.99498805224805,1.4709895307318135,1.0341218160444323,-0.03177955150032352,-0.10240554165361915,-0.19257787961097506,0.06598440780275487,0.08322722914543816,-0.039048912520056045,2.793927741473772
PLTR,2025-02-21,107.68,2025-03-11,75.79,2025-03-25,97.22,2025-04-07,66.65,1,1,1,2025-02-21,2025-03-25,2025-03-11,2025-04-07,151,173,163,182,22,-0.4754545454545458,-0.47846961740435123,0.3215303825956488,-0.45866466616654145,0.12059638474732814,0.2111111111111111,0.13333333333333333,0.1111111111111111,0.1,57.41547713366416,41.21078405988878,0.7214543887497382,1.621973830272422,0.12523321596244608,-0.09314385947219606,-0.15246674683239236,0.0851976493264183,0.40563982501820933,-0.19545223423368863,3.4361652658369763
PTON,2024-02-12,4.81,2024-02-23,4.26,2024-02-29,4.74,2024-03-05,4.26,0,0,0,2024-02-12,2024-02-29,2024-02-23,2024-03-05,151,163,159,166,12,-0.005833333333333283,-0.12910798122065725,0.11267605633802824,-0.11267605633802824,0.0,0.07777777777777778,0.08888888888888889,0.044444444444444446,0.03333333333333333,43.64927430956042,39.23599984219447,0.6552774972665695,0.8498584585155265,0.013793877140277244,-0.052385666530628594,-0.19189615923156755,0.05549966071327032,0.11907588502167409,-0.020689581085941322,3.343764572869575
RBLX,2025-03-03,64.4,2025-03-11,53.46,2025-03-25,62.01,2025-04-07,50.51,1,1,1,2025-03-03,2025-03-25,2025-03-11,2025-04-07,149,165,155,174,16,-0.14937500000000048,-0.21659077410413796,0.16927341120570172,-0.22767768758661644,0.05518144407033301,0.2111111111111111,0.06666666666666667,0.1111111111111111,0.1,55.24038234239802,34.82544220849148,0.5011635058619137,0.912285611266878,0.05219395776390767,-0.0948565707347152,-0.15459638765456607,0.06320742712269219,0.2108907554425679,-0.14138609811590863,3.022036510606257
RDDT,2025-03-25,125.43,2025-04-07,81.01,2025-05-01,125.64,2025-05-23,95.83,1,1,1,2025-03-25,2025-05-01,2025-04-07,2025-05-23,149,175,158,191,26,0.008076923076922836,-0.5483273669917295,0.5509196395506726,-0.36797926181952834,0.18294037773114422,0.36666666666666664,0.1,0.18888888888888888,0.17777777777777778,54.595495558860485,42.98969594344988,1.930073528470814,0.6367694147020332,0.14329987425682011,-0.09446711450958678,-0.07320364824659309,0.07800148202705519,0.3206891351020165,-0.07099388726939915,2.397719745233825
RKLB,2025-05-28,29.91,2025-06-02,26.5,2025-06-09,30.0,2025-06-13,25.41,1,1,1,2025-05-28,2025-06-09,2025-06-02,2025-06-13,149,157,152,161,8,0.011249999999999982,-0.1341991341991342,0.13774104683195598,-0.18063754427390788,0.04113207547169811,0.1,0.03333333333333333,0.05555555555555555,0.044444444444444446,68.52463038238238,48.474928488073736,2.7186779960906398,0.726786572771988,0.13283263375286425,-0.053966014923945926,0.09213754811666752,0.08032552662585574,0.19037243551721988,-0.05151179622824842,3.1602574088059976
SNOW,2023-09-11,170.17,2023-09-28,145.52,2023-10-11,163.92,2023-10-26,140.84,1,1,1,2023-09-11,2023-10-11,2023-09-28,2023-10-26,150,172,163,183,22,-0.2840909090909091,-0.17502130076682731,0.13064470320931543,-0.16387389946038056,0.03216052776250692,0.2222222222222222,0.14444444444444443,0.1,0.12222222222222222,60.140863465620555,34.83645161396814,0.5833327963606137,1.3951170467489598,0.05416498318645946,-0.08524369356006145,-0.09134665607498937,0.03937446516153766,0.16181363505164495,-0.11952994231975744,4.0692058505013025
SPOT,2025-02-13,648.32,2025-03-10,489.24,2025-03-25,615.88,2025-04-07,477.51,1,1,1,2025-02-13,2025-03-25,2025-03-10,2025-04-07,152,179,168,188,27,-1.2014814814814836,-0.3331448556051184,0.26520910556846977,-0.28977403614583985,0.02397596271768461,0.2222222222222222,0.17777777777777778,0.12222222222222222,0.1,59.39640500550525,40.03024792960863,0.5546439178292251,1.439314552272597,0.07458010711533625,-0.08072225262166155,-0.10682112615916028,0.06439952884114128,0.2737977184211612,-0.14178705189941143,2.0711360631543996
TJX,2024-12-11,127.31,2025-01-15,119.11,2025-02-14,126.55,2025-03-13,112.81,1,1,1,2024-12-11,2025-02-14,2025-01-15,2025-03-13,152,195,174,213,43,-0.01767441860465128,-0.0726885914369293,0.06595160003545786,-0.12179771296870845,0.05289228444295187,0.43333333333333335,0.24444444444444444,0.23333333333333334,0.2,53.18919052780004,26.26661236529428,1.0170165751216727,1.1129798646175924,0.0024603752302749804,-0.07112509551831492,-0.07551542981915893,0.023465508994225146,0.13331471025139938,-0.08648473807335244,3.1040407100893104
